ko	total_cds	total_hits	ko_desc
K00799	12	6372	glutathione S-transferase [EC:2.5.1.18]
K01104	17	3532	protein-tyrosine phosphatase [EC:3.1.3.48]
K00940	4	2992	nucleoside-diphosphate kinase [EC:2.7.4.6]
K00787	2	2848	dimethylallyltranstransferase [EC:2.5.1.1]
K00795	2	2848	geranyltranstransferase [EC:2.5.1.10]
K02929	2	2652	large subunit ribosomal protein L44e
K02898	2	2612	large subunit ribosomal protein L26e
K01529	7	2528	
K00212	3	2480	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase [EC:1.3.1.20]
K00089	3	2480	3alpha-hydroxysteroid dehydrogenase (A-specific) [EC:1.1.1.213]
