cds	subject	identity	evalue	score
hsa:51054	025637_0377_1185	98.33	3.82e-116	420
hsa:51054	160188_1087_2154	100.00	2.30e-113	411
hsa:51054	117638_1487_3844	100.00	2.30e-113	411
hsa:51054	316884_0071_1850	99.50	1.81e-99	364
hsa:57577	277567_2791_0490	99.37	9.73e-76	287
hsa:84259	323095_3836_1954	99.64	7.97e-141	501
hsa:84259	376215_3205_2942	99.62	8.02e-136	484
hsa:84259	236361_0292_0594	98.53	3.73e-134	479
hsa:84259	347044_0994_3158	99.61	3.76e-129	462
hsa:84259	353506_0659_4016	99.21	6.29e-127	455
