ko	description
12077	pyruvate dehydrogenase kinase isoform 1 [EC:2.7.11.2]
K00001	alcohol dehydrogenase [EC:1.1.1.1]
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	homoserine dehydrogenase [EC:1.1.1.3]
K00004	(R,R)-butanediol dehydrogenase [EC:1.1.1.4]
K00005	glycerol dehydrogenase [EC:1.1.1.6]
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
